label,person,url,version
A1,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A1.wav,cn
A2,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A2.wav,cn
A3,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A3.wav,cn
A4,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A4.wav,cn
A5,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A5.wav,cn
A6,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A6.wav,cn
A7,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/A7.wav,cn
B1,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B1.wav,cn
B2,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B2.wav,cn
B3,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B3.wav,cn
B4,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B4.wav,cn
B5,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B5.wav,cn
B6,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B6.wav,cn
B7,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/B7.wav,cn
C1,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C1.wav,cn
C2,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C2.wav,cn
C3,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C3.wav,cn
C4,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C4.wav,cn
C5,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C5.wav,cn
C6,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C6.wav,cn
C7,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/cn/C7.wav,cn
A1,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A1.wav,jp
A2,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A2.wav,jp
A3,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A3.wav,jp
A4,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A4.wav,jp
A5,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A5.wav,jp
A6,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A6.wav,jp
A7,A,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/A7.wav,jp
B1,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B1.wav,jp
B2,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B2.wav,jp
B3,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B3.wav,jp
B4,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B4.wav,jp
B5,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B5.wav,jp
B6,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B6.wav,jp
B7,B,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/B7.wav,jp
C1,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C1.wav,jp
C2,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C2.wav,jp
C3,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C3.wav,jp
C4,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C4.wav,jp
C5,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C5.wav,jp
C6,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C6.wav,jp
C7,C,https://cdn.jsdelivr.net/gh/DaBaiHeDaBaiCai/voice-experiment@main/jp/C7.wav,jp
